,video name,,,,,,,,,,,,,,,,,,SUBJECTS' RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,Rejected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,,MOS,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1,credits.yuv,80,78,,64,100,67,,50,84,85,60,,,90,80,80,30,100,83,80,90,81,80,87,80,88,45,98,85,,96,80,67,90,89,46,95,70,90,,78.4705882352941,,,,70,,,,40,,,,,50,55,,,,,,,,,,,,,,,,,37,,,,,,,,,
,credits-4M.yuv,20,23,,50,60,29,,20,46,10,20,,,10,20,20,5,20,36,25,5,25,20,19,20,15,31,75,70,,5,70,15,15,10,25,60,36,5,,27.5,,,,40,,,,20,,,,,0,50,,,,,,,,,,,,,,,,,34,,,,,,,,,
,credits-6M.yuv,60,39,,51,40,25,,35,54,20,20,,,10,50,40,10,20,71,30,20,34,20,25,40,20,42,85,75,,34,75,25,20,15,30,85,46,10,,37.5294117647059,,,,45,,,,50,,,,,0,52,,,,,,,,,,,,,,,,,47,,,,,,,,,
,credits-7M.yuv,40,50,,49,60,20,,40,67,30,40,,,20,50,40,40,40,70,45,20,45,26,40,40,22,50,90,82,,13,80,33,30,40,35,70,48,10,,43.3823529411765,,,,48,,,,50,,,,,20,60,,,,,,,,,,,,,,,,,46,,,,,,,,,
,credits-8M.yuv,60,42,,52,60,50,,40,60,40,40,,,20,40,40,75,40,58,55,50,55,39,53,40,53,50,94,80,,26,80,58,35,35,40,75,51,15,,50.0294117647059,,,,45,,,,60,,,,,5,60,,,,,,,,,,,,,,,,,45,,,,,,,,,
,credits-9M.yuv,60,44,,53,75,49,,26,70,55,40,,,20,60,40,20,60,81,50,75,68,55,70,60,65,58,95,85,,42,85,41,45,45,50,90,56,30,,56.4117647058824,,,,45,,,,50,,,,,5,65,,,,,,,,,,,,,,,,,52,,,,,,,,,
,credits-10M.yuv,60,53,,55,40,48,,40,74,50,50,,,29,60,60,60,80,68,75,50,66,39,85,60,50,70,91,80,,53,85,54,40,50,52,90,55,45,,59.3235294117647,,,,50,,,,80,,,,,20,60,,,,,,,,,,,,,,,,,55,,,,,,,,,
,credits-14M.yuv,100,58,,53,60,56,,45,74,60,80,,,30,50,60,80,60,69,70,75,70,80,93,60,70,65,95,88,,75,90,67,70,84,48,85,55,60,,68.6764705882353,,,,55,,,,70,,,,,30,75,,,,,,,,,,,,,,,,,56,,,,,,,,,
2,golf.yuv,100,70,,63,80,56,,70,87,80,80,,,89,70,60,90,100,82,90,95,90,65,89,80,80,64,98,80,,97,95,67,80,89,55,83,70,90,,80.4117647058824,,,,78,,,,40,,,,,50,73,,,,,,,,,,,,,,,,,55,,,,,,,,,
,golf-1M.yuv,20,18,,43,20,10,,30,24,10,10,,,0,10,20,5,20,24,10,20,30,28,6,20,16,19,80,40,,5,40,6,5,0,20,40,40,5,,20.4117647058824,,,,40,,,,10,,,,,0,33,,,,,,,,,,,,,,,,,35,,,,,,,,,
,golf-1_5M.yuv,40,35,,46,20,29,,48,43,30,20,,,10,10,20,10,20,58,30,40,61,35,40,20,18,28,90,55,,11,65,20,10,5,25,55,49,10,,32.5294117647059,,,,55,,,,30,,,,,10,40,,,,,,,,,,,,,,,,,42,,,,,,,,,
,golf-2M.yuv,60,50,,53,40,35,,55,51,40,30,,,10,30,20,20,40,54,50,70,69,40,70,40,23,37,95,60,,22,75,28,20,10,40,70,47,15,,43.2058823529412,,,,60,,,,20,,,,,20,40,,,,,,,,,,,,,,,,,46,,,,,,,,,
,golf-2_5M.yuv,80,47,,49,20,39,,50,65,45,20,,,20,30,40,40,80,48,55,60,67,48,65,40,36,53,94,70,,38,75,30,35,15,30,77,47,25,,48.0294117647059,,,,60,,,,50,,,,,20,40,,,,,,,,,,,,,,,,,44,,,,,,,,,
,golf-3M.yuv,40,53,,49,60,43,,68,60,55,50,,,49,40,40,30,60,56,60,70,79,29,79,60,33,49,96,75,,46,85,41,40,30,45,85,56,50,,54.7352941176471,,,,70,,,,60,,,,,40,51,,,,,,,,,,,,,,,,,45,,,,,,,,,
,golf-4M.yuv,100,51,,52,40,51,,60,70,55,60,,,40,40,80,50,60,81,60,70,80,60,87,60,40,67,97,78,,59,80,49,50,25,46,75,64,50,,61.3823529411765,,,,65,,,,60,,,,,30,51,,,,,,,,,,,,,,,,,59,,,,,,,,,
,golf-6M.yuv,60,56,,53,40,53,,65,74,65,70,,,65,60,80,70,80,78,70,85,85,67,90,60,72,57,97,78,,66,85,44,60,75,48,80,66,75,,68.5,,,,70,,,,90,,,,,30,55,,,,,,,,,,,,,,,,,61,,,,,,,,,
3,show.yuv,100,70,,58,100,71,,45,91,75,40,,,79,60,60,80,40,80,90,90,82,66,90,60,80,65,95,80,,95,90,77,80,83,72,85,60,90,,75.8529411764706,,,,50,,,,30,,,,,70,55,,,,,,,,,,,,,,,,,50,,,,,,,,,
,show410_2M.yuv,0,21,,45,40,33,,28,53,10,20,,,10,10,0,10,20,38,20,10,20,10,29,0,15,35,80,60,,6,50,29,20,0,30,60,42,5,,25.2647058823529,,,,20,,,,40,,,,,10,32,,,,,,,,,,,,,,,,,31,,,,,,,,,
,show410_3M.yuv,40,39,,50,60,38,,34,65,30,20,,,10,10,20,20,60,48,20,20,23,20,50,20,25,43,85,70,,16,60,31,30,5,40,70,40,15,,36.0882352941176,,,,40,,,,40,,,,,5,41,,,,,,,,,,,,,,,,,35,,,,,,,,,
,show410_4M.yuv,20,47,,47,60,60,,44,69,35,40,,,20,20,40,40,40,40,30,50,55,13,75,20,30,48,90,77,,24,85,45,35,10,50,80,48,25,,44.4705882352941,,,,30,,,,70,,,,,5,40,,,,,,,,,,,,,,,,,37,,,,,,,,,
,show410_8M.yuv,60,54,,54,75,80,,42,73,50,40,,,40,50,80,30,60,78,70,40,72,62,59,20,70,60,92,80,,44,75,65,60,50,55,80,53,70,,60.0882352941177,,,,50,,,,60,,,,,30,50,,,,,,,,,,,,,,,,,46,,,,,,,,,
,show410_10M.yuv,60,51,,50,75,55,,44,72,40,60,,,49,50,60,46,80,59,70,60,64,45,80,60,65,57,95,85,,33,95,75,55,30,57,90,60,50,,61.0882352941176,,,,40,,,,60,,,,,40,56,,,,,,,,,,,,,,,,,39,,,,,,,,,
,show410_14M.yuv,80,65,,53,80,67,,60,82,55,60,,,50,40,60,70,100,72,90,75,80,61,73,60,72,72,97,87,,73,70,73,75,70,60,82,70,65,,70.5588235294118,,,,45,,,,80,,,,,10,52,,,,,,,,,,,,,,,,,47,,,,,,,,,
,show410_22M.yuv,100,45,,55,75,53,,44,78,60,40,,,45,60,40,30,60,61,60,70,74,30,89,40,60,52,96,85,,57,70,67,40,65,65,90,60,55,,60.9117647058824,,,,45,,,,40,,,,,70,60,,,,,,,,,,,,,,,,,39,,,,,,,,,
4,standing.yuv,40,80,,55,90,45,,54,80,60,40,,,90,60,40,90,80,56,75,70,74,70,80,80,73,55,93,77,,99,95,43,60,89,60,95,70,80,,70.5294117647059,,,,65,,,,50,,,,,60,40,,,,,,,,,,,,,,,,,18,,,,,,,,,
,standing423_0-75M.yuv,20,25,,45,20,17,,32,51,25,3,,,0,10,20,10,20,31,20,10,38,14,20,20,15,26,75,45,,3,35,23,10,10,30,65,40,10,,24.6470588235294,,,,35,,,,20,,,,,0,30,,,,,,,,,,,,,,,,,20,,,,,,,,,
,standing423_1-25M.yuv,20,13,,42,20,41,,40,54,20,30,,,10,10,20,20,40,50,35,40,54,24,34,20,30,40,87,60,,11,45,33,20,45,35,70,45,20,,34.6470588235294,,,,45,,,,60,,,,,20,41,,,,,,,,,,,,,,,,,34,,,,,,,,,
